k,Omega_over_k
9.813033437525335103e+03,4.763938010401321151e-17
9.906075629392971678e+03,4.581597669054463100e-17
1.000000000000000000e+04,4.406236427773573154e-17
1.019052881421936036e+04,4.075392965871794545e-17
1.038468775134350653e+04,3.769390975388363198e-17
1.068288429403216469e+04,3.486365227678073478e-17
1.098964355716082719e+04,3.224590545296397898e-17
1.119902793272473355e+04,2.982471286216906043e-17
1.378301606322273437e+04,1.420830832533923894e-17
1.514704336774395961e+04,1.000000000000000072e-17
1.529065992874129006e+04,9.617248711152944191e-18
1.572973157300799176e+04,8.895134973108181261e-18
1.587887288719589560e+04,8.554672535565684479e-18
1.602942828346739770e+04,8.227241341700457147e-18
1.618141116942960252e+04,7.912342618981359590e-18
1.633483507981373077e+04,7.912342618981359590e-18
1.648971367768037089e+04,7.609496685459898821e-18
1.664606075563630657e+04,7.318242219076180923e-18
1.680389023706286025e+04,7.038135554931547916e-18
1.696321617735578911e+04,6.768750009458513415e-18
1.712405276517688253e+04,6.509675230458136844e-18
1.728641432371761766e+04,6.509675230458136844e-18
1.745031531197477671e+04,6.260516572014828118e-18
1.761577032603790212e+04,6.020894493336125674e-18
1.778279410038922651e+04,5.790443980602518659e-18
1.812160756773464891e+04,5.355666917706907690e-18
1.829342743352862090e+04,5.150678076168121715e-18
1.846687640789755824e+04,5.150678076168121715e-18
1.864196993722043408e+04,4.953535208959160114e-18
1.881872361433081824e+04,4.581597669054462792e-18
1.899715317990559197e+04,4.581597669054462792e-18
1.917727452386681398e+04,4.581597669054462792e-18
1.935910368679669045e+04,4.237587160604054451e-18
1.972795039377619469e+04,4.075392965871794391e-18
1.991500078521515752e+04,3.919406774847229078e-18
2.029443893369366560e+04,3.625117049988528072e-18
2.048686048133599616e+04,3.486365227678073478e-18
2.068110647222205807e+04,3.352924149249539216e-18
2.087719420479468317e+04,3.224590545296397975e-18
2.107514114151173999e+04,3.224590545296397975e-18
2.127496491040132241e+04,2.982471286216906428e-18
2.168031429409509656e+04,2.868316813342020770e-18
2.188587600700925395e+04,2.758531617629187001e-18
2.209338675153079748e+04,2.652948464431894365e-18
2.230286500738604445e+04,2.652948464431894365e-18
2.251432942951668883e+04,2.453751106639806863e-18
2.272779884974117522e+04,2.359833466782198735e-18
2.294329227843167610e+04,2.359833466782198735e-18
2.316082890620695616e+04,2.269510536694668520e-18
2.360210943299061910e+04,2.099103720108563048e-18
2.427984453698222933e+04,1.941491945743881516e-18
2.451005367346472121e+04,1.867181091291916647e-18
2.474244553588844792e+04,1.795714494371633687e-18
2.497704081975053487e+04,1.726983290659425471e-18
2.521386041677238973e+04,1.660882782627716622e-18
2.569425710948245614e+04,1.536174946671835918e-18
2.593787698656701468e+04,1.477377652598515702e-18
2.618380674341416670e+04,1.477377652598515702e-18
2.643206828112889707e+04,1.420830832533923740e-18
2.744887757217144463e+04,1.215474250076288452e-18
2.770913386803351023e+04,1.168951816498577646e-18
2.797185778171926722e+04,1.124210035062093211e-18
2.823707270992576377e+04,1.081180751076612204e-18
2.850480227118562834e+04,1.039798418481492007e-18
2.877507030797050902e+04,1.039798418481492007e-18
2.904790088881426345e+04,1.000000000000000072e-18
2.932331831045620856e+04,9.617248711152943806e-19
2.960134710000499399e+04,9.249147277217297828e-19
2.988201201712295733e+04,8.895134973108181646e-19
3.045135044873413426e+04,8.227241341700457340e-19
3.074007466526894859e+04,7.912342618981358820e-19
3.103153641797168530e+04,7.609496685459898628e-19
3.132576166276784352e+04,7.318242219076181886e-19
3.162277660168379225e+04,7.038135554931547531e-19
3.192260768518032637e+04,7.038135554931547531e-19
3.222528161450805055e+04,6.768750009458513607e-19
3.253082534408512220e+04,6.509675230458137036e-19
3.283926608389776811e+04,6.260516572014828118e-19
3.315063130192369135e+04,6.020894493336125097e-19
3.346494872657774977e+04,5.790443980602518659e-19
3.378224634918156517e+04,5.568813990945289943e-19
3.410255242645634280e+04,5.355666917706907690e-19
3.442589548303915944e+04,5.150678076168122100e-19
3.475230431402304384e+04,4.953535208959159536e-19
3.508180798752146802e+04,4.763938010401320804e-19
3.541443584725708934e+04,4.406236427773573192e-19
3.575021751517484518e+04,4.406236427773573192e-19
3.608918289407972043e+04,4.237587160604055029e-19
3.643136217029989348e+04,4.075392965871794487e-19
3.677678581637518801e+04,3.919406774847229463e-19
3.712548459377030667e+04,3.769390975388363583e-19
3.747748955561452749e+04,3.625117049988527880e-19
